,buying,maint,doors,persons,lug_boot,safety,class,row_num
0,vhigh,vhigh,2,2,small,low,unacc,0
1,vhigh,vhigh,2,2,small,med,unacc,1
2,vhigh,vhigh,2,2,small,high,unacc,2
3,vhigh,vhigh,2,2,med,low,unacc,3
4,vhigh,vhigh,2,2,med,med,unacc,4
5,vhigh,vhigh,2,2,med,high,unacc,5
6,vhigh,vhigh,2,2,big,low,unacc,6
7,vhigh,vhigh,2,2,big,med,unacc,7
8,vhigh,vhigh,2,2,big,high,unacc,8
9,vhigh,vhigh,2,4,small,low,unacc,9
10,vhigh,vhigh,2,4,small,med,unacc,10
11,vhigh,vhigh,2,4,small,high,unacc,11
12,vhigh,vhigh,2,4,med,low,unacc,12
13,vhigh,vhigh,2,4,med,med,unacc,13
14,vhigh,vhigh,2,4,med,high,unacc,14
15,vhigh,vhigh,2,4,big,low,unacc,15
16,vhigh,vhigh,2,4,big,med,unacc,16
17,vhigh,vhigh,2,4,big,high,unacc,17
18,vhigh,vhigh,2,more,small,low,unacc,18
19,vhigh,vhigh,2,more,small,med,unacc,19
20,vhigh,vhigh,2,more,small,high,unacc,20
21,vhigh,vhigh,2,more,med,low,unacc,21
22,vhigh,vhigh,2,more,med,med,unacc,22
23,vhigh,vhigh,2,more,med,high,unacc,23
24,vhigh,vhigh,2,more,big,low,unacc,24
25,vhigh,vhigh,2,more,big,med,unacc,25
26,vhigh,vhigh,2,more,big,high,unacc,26
27,vhigh,vhigh,3,2,small,low,unacc,27
28,vhigh,vhigh,3,2,small,med,unacc,28
29,vhigh,vhigh,3,2,small,high,unacc,29
30,vhigh,vhigh,3,2,med,low,unacc,30
31,vhigh,vhigh,3,2,med,med,unacc,31
32,vhigh,vhigh,3,2,med,high,unacc,32
33,vhigh,vhigh,3,2,big,low,unacc,33
34,vhigh,vhigh,3,2,big,med,unacc,34
35,vhigh,vhigh,3,2,big,high,unacc,35
36,vhigh,vhigh,3,4,small,low,unacc,36
37,vhigh,vhigh,3,4,small,med,unacc,37
38,vhigh,vhigh,3,4,small,high,unacc,38
39,vhigh,vhigh,3,4,med,low,unacc,39
40,vhigh,vhigh,3,4,med,med,unacc,40
41,vhigh,vhigh,3,4,med,high,unacc,41
42,vhigh,vhigh,3,4,big,low,unacc,42
43,vhigh,vhigh,3,4,big,med,unacc,43
44,vhigh,vhigh,3,4,big,high,unacc,44
45,vhigh,vhigh,3,more,small,low,unacc,45
46,vhigh,vhigh,3,more,small,med,unacc,46
47,vhigh,vhigh,3,more,small,high,unacc,47
48,vhigh,vhigh,3,more,med,low,unacc,48
49,vhigh,vhigh,3,more,med,med,unacc,49
50,vhigh,vhigh,3,more,med,high,unacc,50
51,vhigh,vhigh,3,more,big,low,unacc,51
52,vhigh,vhigh,3,more,big,med,unacc,52
53,vhigh,vhigh,3,more,big,high,unacc,53
54,vhigh,vhigh,4,2,small,low,unacc,54
55,vhigh,vhigh,4,2,small,med,unacc,55
56,vhigh,vhigh,4,2,small,high,unacc,56
57,vhigh,vhigh,4,2,med,low,unacc,57
58,vhigh,vhigh,4,2,med,med,unacc,58
59,vhigh,vhigh,4,2,med,high,unacc,59
60,vhigh,vhigh,4,2,big,low,unacc,60
61,vhigh,vhigh,4,2,big,med,unacc,61
62,vhigh,vhigh,4,2,big,high,unacc,62
63,vhigh,vhigh,4,4,small,low,unacc,63
64,vhigh,vhigh,4,4,small,med,unacc,64
65,vhigh,vhigh,4,4,small,high,unacc,65
66,vhigh,vhigh,4,4,med,low,unacc,66
67,vhigh,vhigh,4,4,med,med,unacc,67
68,vhigh,vhigh,4,4,med,high,unacc,68
69,vhigh,vhigh,4,4,big,low,unacc,69
70,vhigh,vhigh,4,4,big,med,unacc,70
71,vhigh,vhigh,4,4,big,high,unacc,71
72,vhigh,vhigh,4,more,small,low,unacc,72
73,vhigh,vhigh,4,more,small,med,unacc,73
74,vhigh,vhigh,4,more,small,high,unacc,74
75,vhigh,vhigh,4,more,med,low,unacc,75
76,vhigh,vhigh,4,more,med,med,unacc,76
77,vhigh,vhigh,4,more,med,high,unacc,77
78,vhigh,vhigh,4,more,big,low,unacc,78
79,vhigh,vhigh,4,more,big,med,unacc,79
80,vhigh,vhigh,4,more,big,high,unacc,80
81,vhigh,vhigh,5more,2,small,low,unacc,81
82,vhigh,vhigh,5more,2,small,med,unacc,82
83,vhigh,vhigh,5more,2,small,high,unacc,83
84,vhigh,vhigh,5more,2,med,low,unacc,84
85,vhigh,vhigh,5more,2,med,med,unacc,85
86,vhigh,vhigh,5more,2,med,high,unacc,86
87,vhigh,vhigh,5more,2,big,low,unacc,87
88,vhigh,vhigh,5more,2,big,med,unacc,88
89,vhigh,vhigh,5more,2,big,high,unacc,89
90,vhigh,vhigh,5more,4,small,low,unacc,90
91,vhigh,vhigh,5more,4,small,med,unacc,91
92,vhigh,vhigh,5more,4,small,high,unacc,92
93,vhigh,vhigh,5more,4,med,low,unacc,93
94,vhigh,vhigh,5more,4,med,med,unacc,94
95,vhigh,vhigh,5more,4,med,high,unacc,95
96,vhigh,vhigh,5more,4,big,low,unacc,96
97,vhigh,vhigh,5more,4,big,med,unacc,97
98,vhigh,vhigh,5more,4,big,high,unacc,98
99,vhigh,vhigh,5more,more,small,low,unacc,99
100,vhigh,vhigh,5more,more,small,med,unacc,100
101,vhigh,vhigh,5more,more,small,high,unacc,101
102,vhigh,vhigh,5more,more,med,low,unacc,102
103,vhigh,vhigh,5more,more,med,med,unacc,103
104,vhigh,vhigh,5more,more,med,high,unacc,104
105,vhigh,vhigh,5more,more,big,low,unacc,105
106,vhigh,vhigh,5more,more,big,med,unacc,106
107,vhigh,vhigh,5more,more,big,high,unacc,107
108,vhigh,high,2,2,small,low,unacc,108
109,vhigh,high,2,2,small,med,unacc,109
110,vhigh,high,2,2,small,high,unacc,110
111,vhigh,high,2,2,med,low,unacc,111
112,vhigh,high,2,2,med,med,unacc,112
113,vhigh,high,2,2,med,high,unacc,113
114,vhigh,high,2,2,big,low,unacc,114
115,vhigh,high,2,2,big,med,unacc,115
116,vhigh,high,2,2,big,high,unacc,116
